"rok","prumerna_mzda","nazev_odvetvi"
2007,37204,Informační a komunikační činnosti
2007,16473,"Kulturní, zábavní a rekreační činnosti"
2007,15929,Ostatní činnosti
2007,40725,Peněžnictví a pojišťovnictví
2007,25317,"Profesní, vědecké a technické činnosti"
2007,18831,Stavebnictví
2007,25676,Těžba a dobývání
2007,11739,"Ubytování, stravování a pohostinství"
2007,19038,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2007,24590,Veřejná správa a obrana; povinné sociální zabezpečení
2007,30679,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2007,19321,Vzdělávání
2007,19292,Zásobování vodou; činnosti související s odpady a sanacemi
2007,19054,Zdravotní a sociální péče
2007,15761,"Zemědělství, lesnictví, rybářství"
2007,19633,Zpracovatelský průmysl
2008,14451,Administrativní a podpůrné činnosti
2008,19656,Činnosti v oblasti nemovitostí
2008,22008,Doprava a skladování
2008,40862,Informační a komunikační činnosti
2008,17384,"Kulturní, zábavní a rekreační činnosti"
2008,16491,Ostatní činnosti
2008,43975,Peněžnictví a pojišťovnictví
2008,28659,"Profesní, vědecké a technické činnosti"
2008,20693,Stavebnictví
2008,29236,Těžba a dobývání
2008,11938,"Ubytování, stravování a pohostinství"
2008,20597,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2008,25759,Veřejná správa a obrana; povinné sociální zabezpečení
2008,34780,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2008,20098,Vzdělávání
2008,20985,Zásobování vodou; činnosti související s odpady a sanacemi
2008,20037,Zdravotní a sociální péče
2008,17293,"Zemědělství, lesnictví, rybářství"
2008,21129,Zpracovatelský průmysl
2009,15041,Administrativní a podpůrné činnosti
2009,19919,Činnosti v oblasti nemovitostí
2009,22689,Doprava a skladování
2009,42238,Informační a komunikační činnosti
2009,18326,"Kulturní, zábavní a rekreační činnosti"
2009,16782,Ostatní činnosti
2009,44709,Peněžnictví a pojišťovnictví
2009,30284,"Profesní, vědecké a technické činnosti"
2009,21813,Stavebnictví
2009,27961,Těžba a dobývání
