"rok","prum_cena_potravina","nazev_potravina"
2012,9.0,Přírodní minerální voda uhličitá
2012,12.0,Pšeničná mouka hladká
2012,38.0,Rajská jablka červená kulatá
2012,90.0,Rostlinný roztíratelný tuk
2012,34.0,Rýže loupaná dlouhozrnná
2012,122.0,Šunkový salám
2012,38.0,Těstoviny vaječné
2012,36.0,Vejce slepičí čerstvá
2012,109.0,Vepřová pečeně s kostí
2013,32.0,Banány žluté
2013,24.0,Cukr krystalový
2013,142.0,Eidamská cihla
2013,207.0,Hovězí maso zadní bez kosti
2013,23.0,Chléb konzumní kmínový
2013,34.0,Jablka konzumní
2013,8.0,Jogurt bílý netučný
2013,88.0,Kapr živý
2013,17.0,Konzumní brambory
2013,69.0,Kuřata kuchaná celá
2013,155.0,Máslo
2013,19.0,Mléko polotučné pasterované
2013,19.0,Mrkev
2013,62.0,Papriky
2013,42.0,Pečivo pšeničné bílé
2013,11.0,"Pivo výčepní, světlé, lahvové"
2013,31.0,Pomeranče
2013,9.0,Přírodní minerální voda uhličitá
2013,13.0,Pšeničná mouka hladká
2013,37.0,Rajská jablka červená kulatá
2013,93.0,Rostlinný roztíratelný tuk
2013,35.0,Rýže loupaná dlouhozrnná
2013,126.0,Šunkový salám
2013,41.0,Těstoviny vaječné
2013,30.0,Vejce slepičí čerstvá
2013,116.0,Vepřová pečeně s kostí
2014,32.0,Banány žluté
2014,22.0,Cukr krystalový
2014,151.0,Eidamská cihla
2014,205.0,Hovězí maso zadní bez kosti
2014,23.0,Chléb konzumní kmínový
2014,31.0,Jablka konzumní
2014,8.0,Jogurt bílý netučný
2014,86.0,Kapr živý
2014,14.0,Konzumní brambory
2014,72.0,Kuřata kuchaná celá
2014,163.0,Máslo
2014,21.0,Mléko polotučné pasterované
2014,16.0,Mrkev
2014,61.0,Papriky
2014,41.0,Pečivo pšeničné bílé
2014,11.0,"Pivo výčepní, světlé, lahvové"
2014,30.0,Pomeranče
2014,9.0,Přírodní minerální voda uhličitá
2014,13.0,Pšeničná mouka hladká
2014,41.0,Rajská jablka červená kulatá
2014,93.0,Rostlinný roztíratelný tuk
2014,35.0,Rýže loupaná dlouhozrnná
2014,129.0,Šunkový salám
2014,43.0,Těstoviny vaječné
2014,31.0,Vejce slepičí čerstvá
2014,116.0,Vepřová pečeně s kostí
2015,32.0,Banány žluté
2015,18.0,Cukr krystalový
2015,119.0,Eidamská cihla
2015,203.0,Hovězí maso zadní bez kosti
2015,22.0,Chléb konzumní kmínový
2015,30.0,Jablka konzumní
2015,92.0,Jakostní víno bílé
2015,9.0,Jogurt bílý netučný
2015,87.0,Kapr živý
2015,13.0,Konzumní brambory
2015,70.0,Kuřata kuchaná celá
2015,157.0,Máslo
2015,20.0,Mléko polotučné pasterované
2015,21.0,Mrkev
2015,64.0,Papriky
2015,39.0,Pečivo pšeničné bílé
2015,11.0,"Pivo výčepní, světlé, lahvové"
2015,32.0,Pomeranče
2015,9.0,Přírodní minerální voda uhličitá
2015,13.0,Pšeničná mouka hladká
2015,43.0,Rajská jablka červená kulatá
2015,92.0,Rostlinný roztíratelný tuk
2015,36.0,Rýže loupaná dlouhozrnná
2015,129.0,Šunkový salám
2015,44.0,Těstoviny vaječné
2015,31.0,Vejce slepičí čerstvá
2015,109.0,Vepřová pečeně s kostí
2016,32.0,Banány žluté
2016,18.0,Cukr krystalový
2016,111.0,Eidamská cihla
2016,206.0,Hovězí maso zadní bez kosti
2016,22.0,Chléb konzumní kmínový
2016,30.0,Jablka konzumní
2016,95.0,Jakostní víno bílé
2016,8.0,Jogurt bílý netučný
2016,85.0,Kapr živý
2016,15.0,Konzumní brambory
2016,69.0,Kuřata kuchaná celá
2016,148.0,Máslo
2016,18.0,Mléko polotučné pasterované
2016,19.0,Mrkev
2016,65.0,Papriky
2016,41.0,Pečivo pšeničné bílé
2016,11.0,"Pivo výčepní, světlé, lahvové"
2016,33.0,Pomeranče
2016,9.0,Přírodní minerální voda uhličitá
2016,11.0,Pšeničná mouka hladká
2016,41.0,Rajská jablka červená kulatá
2016,91.0,Rostlinný roztíratelný tuk
2016,37.0,Rýže loupaná dlouhozrnná
2016,130.0,Šunkový salám
2016,45.0,Těstoviny vaječné
2016,29.0,Vejce slepičí čerstvá
2016,109.0,Vepřová pečeně s kostí
2017,31.0,Banány žluté
2017,20.0,Cukr krystalový
2017,143.0,Eidamská cihla
2017,218.0,Hovězí maso zadní bez kosti
2017,24.0,Chléb konzumní kmínový
2017,33.0,Jablka konzumní
2017,97.0,Jakostní víno bílé
2017,9.0,Jogurt bílý netučný
2017,88.0,Kapr živý
2017,16.0,Konzumní brambory
2017,68.0,Kuřata kuchaná celá
2017,198.0,Máslo
2017,19.0,Mléko polotučné pasterované
2017,15.0,Mrkev
2017,62.0,Papriky
2017,45.0,Pečivo pšeničné bílé
2017,11.0,"Pivo výčepní, světlé, lahvové"
2017,36.0,Pomeranče
2017,9.0,Přírodní minerální voda uhličitá
2017,11.0,Pšeničná mouka hladká
