"rok","odvetvi","prumerna_mzda","potravina_nazev","potravina_prum_cena"
2006,Stavebnictví,17644,Chléb konzumní kmínový,16.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Chléb konzumní kmínový,16.0
2006,"Zemědělství, lesnictví, rybářství",14421,Chléb konzumní kmínový,16.0
2006,"Profesní, vědecké a technické činnosti",23106,Chléb konzumní kmínový,16.0
2006,Informační a komunikační činnosti,34942,Chléb konzumní kmínový,16.0
2006,Peněžnictví a pojišťovnictví,39353,Chléb konzumní kmínový,16.0
2006,Doprava a skladování,18994,Chléb konzumní kmínový,16.0
2006,Zdravotní a sociální péče,17974,Chléb konzumní kmínový,16.0
2006,Vzdělávání,18197,Chléb konzumní kmínový,16.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Chléb konzumní kmínový,16.0
2006,Ostatní činnosti,14955,Chléb konzumní kmínový,16.0
2006,Činnosti v oblasti nemovitostí,17551,Chléb konzumní kmínový,16.0
2006,Peněžnictví a pojišťovnictví,39353,Jablka konzumní,31.0
2006,Doprava a skladování,18994,Jablka konzumní,31.0
2006,Zdravotní a sociální péče,17974,Jablka konzumní,31.0
2006,Vzdělávání,18197,Jablka konzumní,31.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Jablka konzumní,31.0
2006,Ostatní činnosti,14955,Jablka konzumní,31.0
2006,Činnosti v oblasti nemovitostí,17551,Jablka konzumní,31.0
2006,Administrativní a podpůrné činnosti,13414,Jablka konzumní,31.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Jablka konzumní,31.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Jablka konzumní,31.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Jablka konzumní,31.0
2006,Těžba a dobývání,24018,Jablka konzumní,31.0
2006,"Ubytování, stravování a pohostinství",11106,Jablka konzumní,31.0
2006,Zpracovatelský průmysl,18277,Jablka konzumní,31.0
2006,Stavebnictví,17644,Jablka konzumní,31.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Jablka konzumní,31.0
2006,"Zemědělství, lesnictví, rybářství",14421,Jablka konzumní,31.0
2006,"Profesní, vědecké a technické činnosti",23106,Jablka konzumní,31.0
2006,Informační a komunikační činnosti,34942,Jablka konzumní,31.0
2006,Těžba a dobývání,24018,Jogurt bílý netučný,6.0
2006,"Ubytování, stravování a pohostinství",11106,Jogurt bílý netučný,6.0
2006,Zpracovatelský průmysl,18277,Jogurt bílý netučný,6.0
2006,Stavebnictví,17644,Jogurt bílý netučný,6.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Jogurt bílý netučný,6.0
2006,"Zemědělství, lesnictví, rybářství",14421,Jogurt bílý netučný,6.0
2006,"Profesní, vědecké a technické činnosti",23106,Jogurt bílý netučný,6.0
2006,Informační a komunikační činnosti,34942,Jogurt bílý netučný,6.0
2006,Peněžnictví a pojišťovnictví,39353,Jogurt bílý netučný,6.0
2006,Doprava a skladování,18994,Jogurt bílý netučný,6.0
2006,Zdravotní a sociální péče,17974,Jogurt bílý netučný,6.0
2006,Vzdělávání,18197,Jogurt bílý netučný,6.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Jogurt bílý netučný,6.0
2006,Ostatní činnosti,14955,Jogurt bílý netučný,6.0
2006,Činnosti v oblasti nemovitostí,17551,Jogurt bílý netučný,6.0
2006,Administrativní a podpůrné činnosti,13414,Jogurt bílý netučný,6.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Jogurt bílý netučný,6.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Jogurt bílý netučný,6.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Jogurt bílý netučný,6.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Kapr živý,69.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Kapr živý,69.0
2006,Těžba a dobývání,24018,Kapr živý,69.0
2006,"Ubytování, stravování a pohostinství",11106,Kapr živý,69.0
2006,Zpracovatelský průmysl,18277,Kapr živý,69.0
2006,Stavebnictví,17644,Kapr živý,69.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Kapr živý,69.0
2006,"Zemědělství, lesnictví, rybářství",14421,Kapr živý,69.0
2006,"Profesní, vědecké a technické činnosti",23106,Kapr živý,69.0
2006,Informační a komunikační činnosti,34942,Kapr živý,69.0
2006,Peněžnictví a pojišťovnictví,39353,Kapr živý,69.0
2006,Doprava a skladování,18994,Kapr živý,69.0
2006,Zdravotní a sociální péče,17974,Kapr živý,69.0
2006,Vzdělávání,18197,Kapr živý,69.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Kapr živý,69.0
2006,Ostatní činnosti,14955,Kapr živý,69.0
2006,Činnosti v oblasti nemovitostí,17551,Kapr živý,69.0
2006,Administrativní a podpůrné činnosti,13414,Kapr živý,69.0
